time, pn-10A04R02T01, pn-10A12R02T01, pn-10A22R02T01, pn-10A35R02T01, pn-10A49R02T01, pn-10A58R02T01
(s), (Pa), (Pa), (Pa), (Pa), (Pa), (Pa)
221.74539184570312, 322525.84375, 316914.0625, 309974.625, 306720.0, 304816.09375, 303708.875
221.85186767578125, 322412.6875, 316799.53125, 309839.375, 306540.4375, 304651.59375, 303475.03125
221.9519500732422, 322335.71875, 316723.09375, 309780.53125, 306490.125, 304710.0, 303649.625
222.05349731445312, 322377.40625, 316764.78125, 309826.40625, 306699.8125, 304701.46875, 303660.15625
222.15414428710938, 322388.6875, 316773.625, 309782.875, 306617.90625, 304744.65625, 303827.59375
222.2597198486328, 322319.125, 316705.28125, 309736.21875, 306247.1875, 304312.53125, 303394.5
222.36077880859375, 322169.59375, 316556.46875, 309593.59375, 306249.03125, 304211.9375, 303360.5625
222.46200561523438, 322221.5, 316608.96875, 309669.59375, 306479.53125, 304298.1875, 303472.28125
222.563232421875, 322135.09375, 316522.0, 309553.84375, 306370.09375, 304517.34375, 303695.125
222.66531372070312, 322079.75, 316467.0625, 309515.03125, 306149.90625, 304273.65625, 303414.6875
222.76736450195312, 322036.40625, 316423.8125, 309475.625, 306372.6875, 304263.03125, 303461.6875
222.87281799316406, 322128.15625, 316514.84375, 309541.71875, 306328.125, 304399.4375, 303557.625
222.97366333007812, 321977.25, 316364.6875, 309423.53125, 306275.25, 304335.15625, 303494.15625
223.078369140625, 321948.28125, 316335.65625, 309389.5, 306019.90625, 304442.34375, 303525.5625
223.1805877685547, 322024.25, 316411.5, 309455.5, 306322.59375, 304292.78125, 303416.125
223.28292846679688, 322131.03125, 316518.46875, 309550.8125, 306429.21875, 304314.5625, 303438.21875
223.38401794433594, 322087.75, 316474.28125, 309504.9375, 306275.46875, 304442.9375, 303576.75
223.48658752441406, 322140.84375, 316527.5, 309577.25, 306199.1875, 304263.78125, 303421.40625
223.58746337890625, 322123.40625, 316510.4375, 309548.8125, 306301.125, 304422.03125, 303533.0625
223.68899536132812, 322341.28125, 316727.46875, 309746.28125, 306335.59375, 304486.53125, 303506.1875
223.7904052734375, 322088.3125, 316474.96875, 309509.46875, 306222.21875, 304558.25, 303596.90625
223.89041137695312, 322172.25, 316559.625, 309627.90625, 306387.90625, 304439.03125, 303495.59375
223.99053955078125, 322212.5, 316599.8125, 309657.46875, 306731.46875, 304495.625, 303610.125
224.0931854248047, 322322.3125, 316710.53125, 309775.09375, 306476.03125, 304623.03125, 303581.28125
