time, rftn-201A08R29, rftn-201A44R29, rftn-201A73R29, rftn-201A108R29, rftn-201A163R29, rftn-201A229R29, rftn-201A273R29, rftn-201A309R29
(s), (K), (K), (K), (K), (K), (K), (K), (K)
286.05517578125, 346.86187744140625, 364.625244140625, 391.05389404296875, 414.3963317871094, 412.8472595214844, 411.6896057128906, 411.8050537109375, 690.2906494140625
286.15869140625, 346.8616027832031, 364.62579345703125, 391.0594177246094, 414.3910217285156, 412.8433532714844, 411.52294921875, 412.0208435058594, 689.9409790039062
286.2594299316406, 346.861328125, 364.62652587890625, 391.06597900390625, 414.3731994628906, 412.54425048828125, 411.59967041015625, 412.14874267578125, 689.8088989257812
286.36114501953125, 346.86102294921875, 364.6273498535156, 391.0722351074219, 414.3268127441406, 412.5058288574219, 411.9889221191406, 412.2059326171875, 689.8258666992188
286.4613342285156, 346.8607482910156, 364.6278076171875, 391.0746154785156, 414.2588806152344, 412.6971130371094, 412.2261962890625, 412.2308654785156, 689.8889770507812
286.563232421875, 346.8605041503906, 364.6278381347656, 391.0726623535156, 414.1900329589844, 412.83380126953125, 412.26165771484375, 411.9403381347656, 689.951171875
286.6653137207031, 346.86029052734375, 364.6273498535156, 391.0666809082031, 414.1287536621094, 413.06817626953125, 411.9144287109375, 411.4028015136719, 689.8517456054688
286.7708740234375, 346.860107421875, 364.6264343261719, 391.0580749511719, 414.0933532714844, 413.1394958496094, 411.9555969238281, 411.41552734375, 689.405029296875
286.8753662109375, 346.8599548339844, 364.6253967285156, 391.04931640625, 414.0880126953125, 412.76544189453125, 412.1764221191406, 411.6412353515625, 688.935302734375
286.9798889160156, 346.85980224609375, 364.624267578125, 391.0413513183594, 414.1002502441406, 412.6258239746094, 412.5148620605469, 411.8620910644531, 688.5223388671875
287.08154296875, 346.8597106933594, 364.62322998046875, 391.03472900390625, 414.11968994140625, 412.73614501953125, 412.6333312988281, 412.00091552734375, 688.2455444335938
287.1824951171875, 346.8595886230469, 364.62237548828125, 391.030517578125, 414.1438293457031, 412.6323547363281, 412.49786376953125, 412.0761413574219, 688.0556640625
287.28424072265625, 346.85943603515625, 364.6218566894531, 391.0295104980469, 414.17144775390625, 412.73785400390625, 412.3970947265625, 412.1150817871094, 687.9090576171875
287.3863830566406, 346.8592834472656, 364.6216735839844, 391.0317077636719, 414.1961669921875, 413.05145263671875, 412.1728515625, 412.0982971191406, 687.7796020507812
287.48809814453125, 346.8591003417969, 364.621826171875, 391.0361022949219, 414.23193359375, 413.3687744140625, 412.36669921875, 411.8517761230469, 687.5735473632812
287.5896301269531, 346.85888671875, 364.6220703125, 391.0403747558594, 414.2814025878906, 413.3467712402344, 412.5853576660156, 411.58184814453125, 687.25732421875
287.6900634765625, 346.85870361328125, 364.622314453125, 391.04376220703125, 414.3077087402344, 413.4006652832031, 412.532470703125, 411.5882263183594, 686.9319458007812
287.7913513183594, 346.85845947265625, 364.62261962890625, 391.04766845703125, 414.3086242675781, 413.4166259765625, 412.1660461425781, 411.72406005859375, 686.6753540039062
287.8918151855469, 346.85821533203125, 364.6231994628906, 391.053466796875, 414.2944641113281, 412.95428466796875, 412.0262145996094, 411.8245544433594, 686.4403076171875
287.9919128417969, 346.8579406738281, 364.6239929199219, 391.06048583984375, 414.2775573730469, 412.9386291503906, 412.21630859375, 411.89697265625, 686.2387084960938
288.0924072265625, 346.8576354980469, 364.6249084472656, 391.0682067871094, 414.2618103027344, 413.2029724121094, 412.2249755859375, 411.9563293457031, 686.0316162109375
288.1960144042969, 346.8572998046875, 364.6260070800781, 391.0763854980469, 414.2459411621094, 413.0772705078125, 411.7998352050781, 411.998046875, 685.865478515625
288.298583984375, 346.8569641113281, 364.6271667480469, 391.084228515625, 414.2250671386719, 413.1046142578125, 411.6346130371094, 412.005615234375, 685.6859741210938
288.4029541015625, 346.8565673828125, 364.6283264160156, 391.0911865234375, 414.212890625, 413.08544921875, 411.708251953125, 411.8211364746094, 685.50927734375
288.50335693359375, 346.8562316894531, 364.6293029785156, 391.0963134765625, 414.2133483886719, 413.2579650878906, 412.0142822265625, 411.67425537109375, 685.28271484375
288.60638427734375, 346.8558654785156, 364.6301574707031, 391.0994873046875, 414.2093505859375, 413.12042236328125, 412.1202087402344, 411.66973876953125, 685.0535888671875
288.70660400390625, 346.85552978515625, 364.63067626953125, 391.0998229980469, 414.1867370605469, 413.0010070800781, 412.1184997558594, 411.7543640136719, 684.9038696289062
288.806640625, 346.8551940917969, 364.630859375, 391.09765625, 414.1542663574219, 412.79754638671875, 412.1117858886719, 411.5640563964844, 684.8138427734375
288.9086608886719, 346.85491943359375, 364.6308288574219, 391.0938720703125, 414.12493896484375, 412.6473083496094, 412.12969970703125, 411.1191101074219, 684.7216186523438
289.0091247558594, 346.8546447753906, 364.63055419921875, 391.0892639160156, 414.1198425292969, 412.9674987792969, 412.0208435058594, 411.0198669433594, 684.4995727539062
289.11328125, 346.85443115234375, 364.6300354003906, 391.0830383300781, 414.13336181640625, 413.0712585449219, 412.0857849121094, 411.204345703125, 684.114013671875
289.21466064453125, 346.8542175292969, 364.6290588378906, 391.07403564453125, 414.1312255859375, 412.876953125, 412.28668212890625, 411.43756103515625, 683.6372680664062
289.3162841796875, 346.8540954589844, 364.6275939941406, 391.06182861328125, 414.1048278808594, 412.91229248046875, 412.5377197265625, 411.6158447265625, 683.2279052734375
289.4169921875, 346.8540344238281, 364.6258239746094, 391.04864501953125, 414.0774841308594, 412.51251220703125, 412.42669677734375, 411.6990661621094, 682.9097900390625
289.5177307128906, 346.85400390625, 364.6240234375, 391.0370788574219, 414.06878662109375, 412.455322265625, 412.036376953125, 411.7156677246094, 682.6284790039062
289.6187744140625, 346.85394287109375, 364.6224670410156, 391.0288391113281, 414.0840148925781, 412.82098388671875, 411.8785705566406, 411.7399597167969, 682.402099609375
289.72119140625, 346.8539123535156, 364.6212463378906, 391.0244445800781, 414.1145935058594, 413.20916748046875, 412.05059814453125, 411.7706298828125, 682.2631225585938
289.8245544433594, 346.85382080078125, 364.62060546875, 391.02557373046875, 414.15753173828125, 413.5547790527344, 411.93438720703125, 411.818603515625, 682.1704711914062
289.93048095703125, 346.85369873046875, 364.6207275390625, 391.0328674316406, 414.2095947265625, 413.7956848144531, 411.78704833984375, 411.8641052246094, 682.0493774414062
290.03240966796875, 346.853515625, 364.6214294433594, 391.0436706542969, 414.2540588378906, 413.7719421386719, 411.8219909667969, 411.6336364746094, 681.839111328125
290.1326599121094, 346.853271484375, 364.6224365234375, 391.0550231933594, 414.2896423339844, 413.81549072265625, 412.1523132324219, 411.1766357421875, 681.5722045898438
290.23358154296875, 346.85302734375, 364.62353515625, 391.0652770996094, 414.30706787109375, 413.8146667480469, 412.2620544433594, 410.96405029296875, 681.3388671875
290.3336181640625, 346.8527526855469, 364.6245422363281, 391.0732116699219, 414.2923889160156, 413.511962890625, 412.225830078125, 411.0987243652344, 681.15478515625
290.43414306640625, 346.85247802734375, 364.6253967285156, 391.07855224609375, 414.2571716308594, 413.2396240234375, 412.2120666503906, 411.28369140625, 680.9703979492188
290.5355529785156, 346.8522033691406, 364.6260070800781, 391.0814514160156, 414.2204895019531, 413.0431213378906, 412.17303466796875, 411.4156494140625, 680.7044677734375
290.63763427734375, 346.8518981933594, 364.6266174316406, 391.08416748046875, 414.200439453125, 413.2542724609375, 411.6906433105469, 411.335693359375, 680.4176635742188
290.7424011230469, 346.85162353515625, 364.62701416015625, 391.0849304199219, 414.1872253417969, 413.1726989746094, 411.5447692871094, 411.2549743652344, 680.112548828125
290.84381103515625, 346.85137939453125, 364.6269836425781, 391.08203125, 414.1691589355469, 413.11639404296875, 411.615234375, 411.38446044921875, 679.8333129882812
290.94384765625, 346.8511657714844, 364.62652587890625, 391.0758972167969, 414.1473388671875, 413.3666076660156, 411.98699951171875, 411.5494079589844, 679.5567016601562
291.0452575683594, 346.85101318359375, 364.6257019042969, 391.0675964355469, 414.1247863769531, 413.3888854980469, 412.2121887207031, 411.6209411621094, 679.2683715820312
291.14605712890625, 346.8508605957031, 364.6246032714844, 391.0582580566406, 414.1063232421875, 413.2648620605469, 412.2751159667969, 411.6487121582031, 678.9789428710938
291.24609375, 346.85076904296875, 364.6233825683594, 391.0489501953125, 414.0987854003906, 413.17498779296875, 412.2660217285156, 411.5771179199219, 678.7329711914062
291.3482971191406, 346.8506774902344, 364.6221923828125, 391.04150390625, 414.1164855957031, 413.35009765625, 412.2100830078125, 411.134521484375, 678.5501708984375
291.448974609375, 346.8505859375, 364.6213073730469, 391.03765869140625, 414.1673889160156, 413.510986328125, 412.15771484375, 410.92919921875, 678.340576171875
291.5497741699219, 346.8504638671875, 364.62078857421875, 391.0370788574219, 414.23065185546875, 413.3574523925781, 411.84893798828125, 411.04010009765625, 678.0842895507812
291.6501159667969, 346.850341796875, 364.6204833984375, 391.0382080078125, 414.2831115722656, 413.4437561035156, 411.8056640625, 411.2586364746094, 677.697998046875
291.751220703125, 346.8502197265625, 364.6202697753906, 391.03961181640625, 414.3128967285156, 413.2650451660156, 412.0265808105469, 411.4558410644531, 677.1790771484375
291.8512268066406, 346.8500671386719, 364.6201171875, 391.0408935546875, 414.31939697265625, 413.1052551269531, 412.3304138183594, 411.5523681640625, 676.6793823242188
291.9534912109375, 346.84991455078125, 364.6199951171875, 391.0423278808594, 414.3126525878906, 413.33001708984375, 412.3988037109375, 411.5848083496094, 676.2816162109375
292.0557556152344, 346.8497314453125, 364.62005615234375, 391.0450439453125, 414.30841064453125, 413.6584777832031, 412.14166259765625, 411.5918884277344, 676.0095825195312
292.1561279296875, 346.84954833984375, 364.6202697753906, 391.048583984375, 414.3027038574219, 413.880126953125, 411.7308044433594, 411.6055603027344, 675.8300170898438
292.2574768066406, 346.849365234375, 364.6204833984375, 391.0516052246094, 414.2933349609375, 414.0043029785156, 411.60675048828125, 411.4508361816406, 675.6658935546875
292.3597106933594, 346.84918212890625, 364.6205749511719, 391.0530090332031, 414.2725524902344, 413.9799499511719, 411.86273193359375, 411.1362609863281, 675.5389404296875
292.4630126953125, 346.8489990234375, 364.6205139160156, 391.0526123046875, 414.23907470703125, 413.69366455078125, 412.08624267578125, 411.1472473144531, 675.4500122070312
292.56341552734375, 346.84881591796875, 364.6202087402344, 391.0505065917969, 414.2010803222656, 413.643310546875, 412.1240539550781, 411.3075866699219, 675.3915405273438
292.6634826660156, 346.84869384765625, 364.6197204589844, 391.0466613769531, 414.1641845703125, 413.7741394042969, 412.1148681640625, 411.43438720703125, 675.3309936523438
292.7635192871094, 346.84857177734375, 364.6190185546875, 391.04144287109375, 414.1349182128906, 413.9298095703125, 412.1351623535156, 411.29095458984375, 675.2657470703125
292.8668518066406, 346.84844970703125, 364.6181335449219, 391.0356750488281, 414.1191711425781, 414.04095458984375, 411.8070373535156, 410.9865417480469, 675.143798828125
292.9669189453125, 346.8483581542969, 364.6173095703125, 391.03070068359375, 414.11993408203125, 414.0985107421875, 411.600830078125, 411.0052795410156, 675.0247802734375
293.06988525390625, 346.8482666015625, 364.6164855957031, 391.026611328125, 414.1323547363281, 414.10943603515625, 411.594482421875, 411.2008972167969, 674.8275146484375
293.1701354980469, 346.8481750488281, 364.61572265625, 391.02337646484375, 414.1487731933594, 413.9302978515625, 411.9144592285156, 411.3091735839844, 674.2548828125
293.27191162109375, 346.84808349609375, 364.61505126953125, 391.0210876464844, 414.1669006347656, 413.82666015625, 412.0548400878906, 411.29534912109375, 672.7954711914062
293.3721923828125, 346.8479919433594, 364.6144714355469, 391.0197448730469, 414.1845703125, 413.88677978515625, 412.0788269042969, 411.25860595703125, 671.2070922851562
293.47308349609375, 346.847900390625, 364.6139831542969, 391.0190734863281, 414.20166015625, 414.0097351074219, 412.0575866699219, 411.27880859375, 669.6731567382812
293.5738830566406, 346.8478088378906, 364.6136169433594, 391.0194091796875, 414.220703125, 414.1037902832031, 411.6846923828125, 411.0889587402344, 668.277099609375
293.6741027832031, 346.8476867675781, 364.6133728027344, 391.0204772949219, 414.23443603515625, 414.14935302734375, 411.6206970214844, 410.92486572265625, 667.4649047851562
293.7746887207031, 346.8475646972656, 364.6131591796875, 391.02166748046875, 414.2384338378906, 413.9701232910156, 411.7030334472656, 411.0301513671875, 667.9052124023438
293.8753356933594, 346.8474426269531, 364.6129455566406, 391.0220642089844, 414.2301940917969, 413.6086120605469, 412.0404968261719, 411.2087097167969, 668.2366943359375
293.97564697265625, 346.8473205566406, 364.61260986328125, 391.02154541015625, 414.21160888671875, 413.5350036621094, 412.1870422363281, 411.2590637207031, 668.3511352539062
